title,link,excerpt,published_at,funding_round,money_raised,Company,money_raised_float,linkedin_link
Seatwave wins $25m Series C funding to expand,https://techcrunch.com/2008/02/11/seatwave-wins-25m-series-c-funding-to-expand/,"Ticket reseller Seatwave has taken $25 million Series C in a round led by Fidelity Ventures that included Atlas Venture, Mangrove Capital Partners and Adinvest. Total funding for Seatwave to date is $...",2008/02/11,Series C,$25 M,Seatwave,25.0,https://www.linkedin.com/company/seatwave
Healthcare booking platform DocPlanner scores $20M Series C and merges with Doctoralia,https://techcrunch.com/2016/06/07/docplanner-doctoralia/,"Europe's DocPlanner, an online booking platform for healthcare appointments, has raised a $20 million Series C round, and at the same time is announcing a merger with Spain's Doctoralia. The new fundi...",2016/06/07,Series C,$20 M,DocPlanner,20.0,https://www.linkedin.com/company/docplanner
"Quiqup, a London-based on-demand delivery startup, raises £20M Series B",https://techcrunch.com/2017/05/23/quiqup-series-b/,"Quiqup, a London-based delivery startup that operates a ""shop on your behalf"" app similar to Jinn in Europe or Postmates in the U.S., in addition to a growing B2B business, has raised £20 million in S...",2017/05/23,Series B,$25.8 M,Quiqup,25.8,https://www.linkedin.com/company/quiqup
Instart Logic Bags $26M in Series C Funding To Continue Reinventing Content Delivery Networks,https://techcrunch.com/2014/05/13/instart-logic-bags-26m-in-series-c-funding-to-disrupt-cdns/,"Content delivery network company Instart Logic today received $26 million in Series C funding from KPCB, Andreessen Horowitz, Greylock Partners, Sutter Hill Ventures and Tenaya Capital. The Series C i...",2014/05/13,Series C,$26 M,Instart Logic,26.0,https://www.linkedin.com/company/instart-logic
CloudPhysics Grabs $15M In Series C Funding And Announces New Virtual Storage Predictive Analytics,https://techcrunch.com/2014/06/23/cloudphysics-grabs-15m-in-series-c-funding-and-announces-new-virtual-storage-predictive-analytics/,"CloudPhysics has a vision for the data center: It wants to give sysadmins clarity and insight into possible issues that create bottlenecks in a virtualized environment, offer solutions when they happe...",2014/06/23,Series C,$15 M,CloudPhysics,15.0,https://www.linkedin.com/company/cloudphysics
SentinelOne raises a $70M C round to tackle multiple-vector cyber attacks,https://techcrunch.com/2017/01/25/sentinelone-raises-a-70m-c-round-to-tackle-multiple-vector-cyber-attacks/,"As workforces become increasingly mobile with laptops, smartphones and other handheld devices, the potential for vulnerability increases massively. The sophistication of cyber threats and targeted att...",2017/01/25,,$70 M,SentinelOne,70.0,https://www.linkedin.com/company/sentinelone
German iPad point of sale startup Orderbird closes $20M Series C,https://techcrunch.com/2016/05/11/german-ipad-point-of-sale-startup-orderbird-closes-20m-series-c/,"Timing is everything, right? Just a few days after recovering from a denial-of-service (DoS) attack, orderbird, which claims to be the leading iPad point of sale (POS) solution in German speaking mark...",2016/05/11,Series C,$20 M,Orderbird,20.0,https://www.linkedin.com/company/orderbird-ag
ElasticSearch Scores $70M In Series C To Fund Growth Spurt,https://techcrunch.com/2014/06/05/elasticsearch-scores-70m-in-series-c-to-fund-growth-spurt/,ElasticSearch announced $70M in Series C funding today just 18 months after forming the company. Company executives say they will use the money to continue to drive their phenomenal growth. This round...,2014/06/05,Series C,$70 M,ElasticSearch,70.0,https://www.linkedin.com/company/elastic-co
Varsity Tutors Raises $50 Million In Series B,https://techcrunch.com/2015/11/13/varsity-tutors-raises-50-million-in-series-b/,"Varsity Tutors, the platform that connects elite tutors with students, has just closed a $50 million Series B funding round led by Technology Crossover Ventures and Adam Levine, frontman for Maroon 5 ...",2015/11/13,Series B,$50 M,Varsity Tutors,50.0,https://www.linkedin.com/company/varsity-tutors-llc
Practice Fusion Pulls In $34M Series C Led By Artis To Crush The Other eMedical Record Startups,https://techcrunch.com/2012/06/28/practice-fusion/,"Practice Fusion is the frontrunner in the fevered race to become the electronic medical record platform, and today it finished raising a $34 million Series C led by hedge fund Artis Ventures to make s...",2012/06/28,Series C,$34 M,Practice Fusion,34.0,https://www.linkedin.com/company/practice-fusion
"With $20 Billion In Consumer Debt Under Management, Credit Sesame Closes $12 Million Series C",https://techcrunch.com/2012/06/11/with-20-billion-in-consumer-debt-under-management-credit-sesame-closes-12-million-series-b/,"Personal finance service (and TechCrunch Disrupt alum) Credit Sesame has just secured $12 million in Series C funding. The round was led by Globespan Capital Partners, and included participation from ...",2012/06/11,Series C,$12 M,Credit Sesame,12.0,https://www.linkedin.com/company/creditsesame
NEA Leads Educational Network Edmodo?s $25 Million Series C,https://techcrunch.com/2012/07/19/nea-leads-educational-network-edmodos-25-million-series-c/,"Edmodo, the collaborative learning network for teachers and students, is announcing today it has closed a $25 million Series C round of funding. The round was led by new investor New Enterprise Associ...",2012/07/19,Series C,$25 M,NEA,25.0,https://www.linkedin.com/company/new-enterprise-associates
Data Storage Company Nexenta Scores $21 Million In Series C Funding,https://techcrunch.com/2012/01/18/data-storage-company-nexenta-scores-21-million-in-series-c-funding/,Data storage solutions provider Nexenta this morning announced that it has secured $21 million in Series C funding in a round led by new investor Menlo Ventures and joined by Sierra Ventures and Razor...,2012/01/18,Series C,$21 M,Nexenta,21.0,https://www.linkedin.com/company/nexenta-systems
Network analytics startup Kentik pulls in $23M Series B,https://techcrunch.com/2016/08/04/network-analytics-startup-kentik-pulls-in-23m-series-b/,"In a beacon of hope for onlooking founders, Y Combinator reject and network analytics startup Kentik Technologies locked down a $23 million Series B this morning. Let?s be honest ? most of us don?t kn...",2016/08/04,Series B,$23 M,Kentik pulls,23.0,https://www.linkedin.com/company/kentik
Full Details On Mint's $14 Million Series C Round,https://techcrunch.com/2009/08/12/full-details-on-mints-14-million-series-c-round/,"Mint, the popular personal finance site that won 2007's TechCrunch40 conference, has closed a new $14 million Series C funding round. Silicon Alley Insider discovered the round in an SEC filing this m...",2009/08/12,Series C,$14 M,Full,14.0,https://www.google.com/url?q=https://www.linkedin.com/company/full-suite-websites&sa=U&ved=0ahUKEwi0xLn1t4DWAhVmsVQKHVzyC60QFggaMAE&usg=AFQjCNGutF06Mg4fwaKBgj79-RyDoRzPXQ
Trion Closes A Whopping $70 Million In Series C Funding,https://techcrunch.com/2008/09/23/trion-closes-a-whopping-70-million-in-series-c-funding/,"Trion World Network, an online games developer, announced today that it raised $70 million in Series C funding. Peacock Equity, the joint venture between GE Commercial Finance?s Media, Communications ...",2008/09/23,Series C,$70 M,Trion,70.0,https://www.linkedin.com/company/trion
Like.com's Perfect Timing: $32 Million Series C Round,https://techcrunch.com/2008/10/21/likecoms-perfect-timing-32-million-series-c-round/,"Silicon Valley based Like.com managed to raise a monster round of financing at just the right time: $32 million in Series C round of funding that closed in August, led by Menlo Ventures. Crosslink Cap...",2008/10/21,Series C,$32 M,Like.com,32.0,https://www.google.com/url?q=https://www.linkedin.com/company/food-i-like-com&sa=U&ved=0ahUKEwiu6YmCuIDWAhXmh1QKHRv8CSEQFggZMAE&usg=AFQjCNFPuQ0zkpepVOB5IMsjG3ph76N5Ow
YouSendIt Closes Its $14 Million Series C Round,https://techcrunch.com/2008/07/14/yousendit-closes-its-14-million-series-c-round/,"YouSendIt has raised an additional $14 million in a Series C round led by Emergence Capital and all existing investors, including Alloy Ventures, Sevin Rosen Funds, Cambrian Ventures and Sigma Partner...",2008/07/14,Series C,$14 M,YouSendIt,14.0,https://www.linkedin.com/company/hightail---formerly-yousendit
Everfi raises $190 million to teach life skills and touchy subjects online,https://techcrunch.com/2017/04/26/everfi-raises-190-million-to-teach-life-skills-and-touchy-subjects-online/,EVERFI Inc. has raised $190 million in Series D funding to teach students online the life skills and touchy subject matter that they never learned in school. A sampling of courses offered by Everfi ra...,2017/04/26,Series D,$190 M,Everfi,190.0,https://www.linkedin.com/company/everfi
Ticket Scalpers Seatwave Take $25 Million Series C,https://techcrunch.com/2008/02/11/ticket-scalpers-seatwave-take-25-million-series-c/,"European ticket resellers Seatwave have taken $25 million Series C in a round led by Fidelity Ventures that included Atlas Venture, Mangrove Capital Partners and Adinvest. Total funding for Seatwave t...",2008/02/11,Series C,$25 M,Scalpers Seatwave,25.0,https://www.linkedin.com/company/scalpers
Redfin Takes $12 Million Series C Financing Amid Realtor War,https://techcrunch.com/2007/07/17/redfin-takes-12-million-series-c-financing-amid-realtor-war/,"Seattle-based Redfin, a real estate website that allows users to bypass most of the fees associated with using real estate brokers, has closed a $12 million Series C round of financing. This is on top...",2007/07/17,Series C,$12 M,Redfin,12.0,https://www.linkedin.com/company/redfin
Jajah Announces Deutsche Telekom As Second Series C Investor,https://techcrunch.com/2007/05/28/jajah-announces-deutsche-telekom-as-second-series-c-investor/,"Earlier this month we announced VOIP startup Jajah had accepted $20 million in series C investment from Intel Capital. Tonight, Jajah has announced that they've added a co-lead to the round: Deutsche ...",2007/05/28,Series C,$20 M,Jajah,20.0,https://www.linkedin.com/company/jajah
JAJAH Lands $20 million Series C Funding From Intel,https://techcrunch.com/2007/05/09/jajah-lands-20-million-series-c-funding-from-intel/,"VOIP provider JAJAH closes Series C funding of $20 million today, with the lead investment coming from Intel Capital, the venture capital arm of Intel. Previous TechCrunch coverage here. As part of th...",2007/05/09,Series C,$20 M,JAJAH,20.0,https://www.linkedin.com/company/jajah
Banjo Scores $100M Series C Led By Softbank To Analyze Events As They Happen,https://techcrunch.com/2015/05/07/banjo-seriesc/,"Banjo, a startup that analyzes data about events and breaking news in real-time, has pulled in a $100 million series C led by Softbank with participation from returning investor BlueRun Ventures. This...",2015/05/07,Series C,$100 M,Banjo,100.0,https://www.linkedin.com/company/banjo
User-generated content marketing platform Yotpo picks up $22M Series C,https://techcrunch.com/2016/06/14/yotpo-series-c/,"Yotpo, a platform that lets companies solicit content from their users and customers in the form of reviews, Q&As, and photos and videos, for use across various marketing channels, has picked up $22 m...",2016/06/14,Series C,$22 M,Yotpo picks,22.0,https://www.linkedin.com/company/yotpo
"ScribbleLive Closes $12M Series C, Eyes Acquisitions And International Expansion",https://techcrunch.com/2014/10/02/scribblelive-closes-12m-series-c-eyes-acquisitions-and-international-expansion/,ScribbleLive is today announcing the closing of a $12 million Series C investment led by WIN (Waterloo Innovation Network) Fund with all of the company's existing investors also participating. The com...,2014/10/02,Series C,$12 M,ScribbleLive,12.0,https://www.linkedin.com/company/scribblelive
Jolla closes $12M Series C for its Sailfish mobile OS licensing business,https://techcrunch.com/2016/05/03/jolla-closes-12m-series-c-for-its-sailfish-mobile-os-licensing-business/,"Alternative mobile OS maker, Jolla, whose Sailfish licensing business aims to compete with Google's Android platform by offering OEMs the ability to tailor the mobile platform to their needs, has clos...",2016/05/03,Series C,$12 M,Jolla,12.0,https://www.linkedin.com/company/jolla
Letgo raises $175 million for its used goods marketplace,https://techcrunch.com/2017/01/17/letgo-raises-whopping-175-million-financing-for-its-used-goods-marketplace/,"With a pitch for its users to just let go of the things they no longer need, the online used goods marketplace letgo has managed to grab on to $175 million in new financing. Since its launch in 2015, ...",2017/01/17,,$175 M,Letgo,175.0,https://www.linkedin.com/company/letgo
CoreOS raises $28M Series B round led by GV,https://techcrunch.com/2016/05/09/coreos-raises-28m-series-b-round-led-by-gv/,"CoreOS, the company behind the container-centric CoreOS Linux distribution and Tectonic container management service, today announced that it has raised a $28 million Series B round led by GV, the fun...",2016/05/09,Series B,$28 M,CoreOS,28.0,https://www.linkedin.com/company/coreos
"Appear Here, a marketplace for short-term retail space, raises $12M Series B",https://techcrunch.com/2017/05/17/appear-here-a-marketplace-for-short-term-retail-space-raises-12m-series-b/,"Appear Here, a marketplace for short-term retail space that originally launched to ride the 'pop-up' shop craze, has raised $12 million in Series B funding. Leading the round is Octopus Ventures, with...",2017/05/17,Series B,$12 M,Appear Here,12.0,https://www.linkedin.com/company/appear-here
Online lender Kreditech closes out Series C at $103M after getting $11M from the IFC,https://techcrunch.com/2016/03/23/online-lender-kreditech-closes-out-series-c-at-103m-after-getting-11m-from-the-ifc/,"Kreditech -- the German startup that offers loans and other financial services to consumers who have little or no credit history by using some 20,000 data points online to assess their suitability -- ...",2016/03/23,Series C,$103 M,lender Kreditech,103.0,https://www.google.com/url?q=https://www.linkedin.com/pulse/kreditech-expand-its-lending-as-a-service-api-vp-michal-panowicz&sa=U&ved=0ahUKEwigl-3JuIDWAhXCgVQKHUYjDkcQFggaMAE&usg=AFQjCNGlxOtCzrQEAfn6GyDbIzH1ZwE8gQ
Pivotal scores $253 million Series C led by Ford on hefty $2.8 billion valuation,https://techcrunch.com/2016/05/05/pivotal-lands-253-million-series-c-led-by-ford-and-microsoft-on-2-8-billion-valuation/,"Pivotal has a couple of new friends with big wallets. Today it announced that Ford and Microsoft were joining EMC, VMware and GE as investment partners on a massive $253 million Series C investment wi...",2016/05/05,Series C,$253 M,Pivotal,253.0,https://www.linkedin.com/company/pivotalsoftware
C9 Hires A New CEO And Raises $12M For Sales Forecasting SaaS,https://techcrunch.com/2013/09/23/c9-hires-a-new-ceo-and-raises-12m-for-sales-forecasting-saas/,"C9 has a new CEO and $12 million in funding for its platform that helps customers forecast sales revenues. The Series D round was led by existing investors Mayfield Fund, InterWest Partners and Leapfr...",2013/09/23,Series D,$12 M,CEO And,12.0,https://www.google.com/url?q=https://www.cnbc.com/2017/06/28/linkedin-ceo-jeff-weiner-heres-what-separates-leaders-from-managers.html&sa=U&ved=0ahUKEwjHwLLXuIDWAhUKwVQKHUSuDAgQFggaMAI&usg=AFQjCNFZToJZzqcvMg6NWjSnhJz-y7yd5w
Makeblock raises $30 million for robot-building kits for kids,https://techcrunch.com/2017/03/15/makeblock-raises-30-million-for-robot-building-kits-for-kids/,"Remember when kids could simply play with their toys? They still can. But parents are increasingly spending on toys that are chockablock with tech components, and that promise to turn their kids into ...",2017/03/15,,$30 M,Makeblock,30.0,https://www.google.com/url?q=https://www.linkedin.com/company/makeblock-mbot&sa=U&ved=0ahUKEwiW5s7guIDWAhXHsVQKHfanA3YQFggWMAE&usg=AFQjCNHqnrymfUZZg9rAKfPbhAUFkTTcRA
Contract management software maker Icertis raises $15M Series B,https://techcrunch.com/2016/03/10/icertis-series-b/,"Icertis, which develops cloud-based software that helps large companies manage contracts, has raised a $15 million Series B led by Ignition Partners. Its newest funding brings Icertis? total raised so...",2016/03/10,Series B,$15 M,Icertis,15.0,https://www.linkedin.com/company/icertis
Giphy Closes $55 Million Series C At A $300 Million Post-Money Valuation,https://techcrunch.com/2016/02/16/giphy-closes-55-million-series-c-at-a-300-million-post-money-valuation/,"Giphy, the Google of GIFs, has closed a $55 million Series C funding round at a valuation of $300 million post-money. The round was led by Lightspeed Venture Partners with participation from General C...",2016/02/16,Series C,$55 M,Giphy,55.0,https://www.linkedin.com/company/giphy
OPower Gets $50 Million To Drive Energy Efficiency Via Peer Pressure,https://techcrunch.com/2010/11/29/opower-series-c-50-million/,"The Arlington, Va. clean tech startup, OPower, closed a $50 million series C investment led by Accel Partners and Kleiner Perkins Caulfield & Byers (KPCB) and joined by the company's earlier investors...",2010/11/29,series C,$50 M,OPower,50.0,https://www.linkedin.com/company/opower
"BranchOut Hits 25 Million Users, Nabs $25M In Series C Funding",https://techcrunch.com/2012/04/19/branchout-25-million-users-funding-series-c/,"BranchOut is officially going for the big time. The company, which makes a professional social network that runs on top of Facebook, is announcing today it has closed on $25 million in new funding, br...",2012/04/19,Series C,$25 M,BranchOut,25.0,https://www.linkedin.com/company/branchout
Wireless player Ubidyne wins $14.4 million Series C round funding,https://techcrunch.com/2009/08/20/wireless-player-ubidyne-wins-144-million-series-c-round-funding/,"If the future is highly mobile oriented then the people who make the antenna that power this wireless world are in a powerful position. Which is why it's perhaps not surprising that Ubidyne, a German ...",2009/08/20,Series C,$14.4 M,player Ubidyne,14.4,https://www.google.com/url?q=https://www.linkedin.com/in/kenhawk&sa=U&ved=0ahUKEwjo7IyQuYDWAhWGj1QKHd1JB-QQFggZMAE&usg=AFQjCNGVFAj8CyaroxJDq7oIMSoKLNJafw
"PlayFirst Takes $16.5 Million Series C, Inks Deal With RockYou",https://techcrunch.com/2007/12/18/playfirst-takes-165-million-series-c-inks-deal-with-rockyou/,"Casual gaming startup PlayFirst has secured $16.5 million Series C in a round led by DCM that included original investors Mayfield Fund, Trinity Ventures and Rustic Canyon Partners. The new round brin...",2007/12/18,Series C,$16.5 M,PlayFirst,16.5,https://www.linkedin.com/company/playfirst-inc-
AdMob Closes $15.7 Million Series C Round Led By Sequoia,https://techcrunch.com/2008/10/21/admob-closes-157-million-series-c-round-led-by-sequoia/,"AdMob, a popular mobile advertising platform, has closed a 15.7 million Series C funding round led by Sequoia's Growth Fund with participation from Accel Partners. The company says that it will use th...",2008/10/21,Series C,$15.7 M,AdMob,15.7,https://www.linkedin.com/company/admob
Planet Labs Rockets To $118 Million In Series C Funding To Cover The Earth In Tiny Satellites,https://techcrunch.com/2015/04/13/planet-labs-rockets-to-118-million-in-series-c-funding-to-cover-the-earth-in-tiny-satellites/,"Planet Labs, a startup that has pledged to cover the Earth in tiny satellites, announced the close of $118 million in Series C funding today. The International Finance Corporation (IFC), a division of...",2015/04/13,Series C,$118 M,Planet Labs,118.0,https://www.linkedin.com/company/planet-labs
Zumper raises a $17.6M Series B to expand beyond apartment searches,https://techcrunch.com/2016/10/18/zumper-raises-a-17-6m-series-b-to-expand-beyond-apartment-searches/,"Zumper, the online apartment search platform, has raised $17.6M in Series B funding. This brings total funding to date to $39.2M. While the company declined to discuss valuation, TechCrunch has learne...",2016/10/18,Series B,$17.6 M,Zumper,17.6,https://www.linkedin.com/company/zumper
"To detect prying eyes in the sky, Dedrone raises $15 million",https://techcrunch.com/2017/02/13/to-detect-prying-eyes-in-the-sky-dedrone-raises-15-million/,"For better or worse, drones are about to become a lot more prevalent in US airspace. The FAA expects sales of drones to spike domestically from 2.5 million last year to 7 million by 2020. Now, a start...",2017/02/13,,$15 M,Dedrone,15.0,https://www.linkedin.com/company/dedrone
"Lumo Raises $10 Million Series B, Starts Building Wearables Partnerships",https://techcrunch.com/2015/11/03/lumo-raises-10-million-series-b-starts-building-wearables-partnerships-for-lumo-run/,"Right off the launch of Lumo Run, Lumo Bodytech, a smart sensors and software platform, has raised $10 million in Series B financing. Lumo came onto the scene a few years back with Lumo Lift, a wearab...",2015/11/03,Series B,$10 M,Lumo,10.0,https://www.linkedin.com/company/lumo-bodytech-inc
InVision raises $55M in Series D funding to make product design collaborative,https://techcrunch.com/2016/06/21/invision-raises-55m-in-series-d-funding-to-make-product-design-collaborative/,"Collaborative prototyping and design tool InVision has raised a $55M Series D round led by Iconiq Capital, the venture firm known for investing funds for Mark Zuckerberg and Jack Dorsey, among others....",2016/06/21,Series D,$55 M,InVision,55.0,https://www.linkedin.com/company/invisionapp-inc
Tapingo Orders Up $22 Million In Series C Funding To Grow Beyond The College Market,https://techcrunch.com/2015/04/02/tapingo-orders-up-22-million-in-series-c-funding-to-grow-beyond-the-college-market/,"There are at least 12 on-demand food startups within the Bay Area - two of them focus solely on delivering cookies. And there are plenty more beyond the borders of San Francisco. With Postmates, Cavia...",2015/04/02,Series C,$22 M,Tapingo,22.0,https://www.linkedin.com/company/tapingo
Pivotal confirms Series C round is actually over $650 million,https://techcrunch.com/2016/05/09/pivotal-confirms-series-c-round-is-actually-over-650-million/,"Pivotal filed a Form D last week with the SEC, indicating that last week's $253 million round was actually closer to $653 million. Where did the extra money come from? Well, existing investors EMC con...",2016/05/09,Series C,$650 M,Pivotal cons,650.0,https://www.linkedin.com/company/pivotalsoftware
"Udacity Raises $105 Million Series D, Bringing Valuation To $1 Billion",https://techcrunch.com/2015/11/11/udacity-raises-105-million-series-d-bringing-valuation-to-1-billion/,"Udacity, the coding education service, has sprouted a magical horn. The company announced on Wednesday it had raised a $105 million Series D round. With a total valuation of $1 billion, the company ha...",2015/11/11,Series D,$105 M,Udacity,105.0,https://www.google.com/url?q=http://blog.udacity.com/2015/01/essential-tips-stand-linkedin-profile.html&sa=U&ved=0ahUKEwi6vvHcuYDWAhXIjVQKHRW_AdUQFggaMAE&usg=AFQjCNHXD4EC56HdUuVyIRnRfI_O-j4bOQ
Guardant Health Secures $50 Million In Series C To Help More Doctors Track Cancer In Real Time,https://techcrunch.com/2015/02/03/guardant-health-secures-50-million-in-series-c-to-help-more-doctors-can-track-cancer-in-real-time/,Guardant Health announced today that it has raised $50 million in Series C funding for its biopsy-free blood cancer screening test Guardant360. This puts the total funding for the medical technology s...,2015/02/03,Series C,$50 M,Guardant Health,50.0,https://www.linkedin.com/company/guardant-health
"Flywheel Gets $12 Million In Series C Funding, Slams Uber And Finds A New CEO",https://techcrunch.com/2014/11/20/flywheel-gets-12-million-in-series-c-funding-slams-uber-and-finds-a-new-ceo/6/,"Flywheel, the app that hooks up taxi drivers with riders, announced Rakesh Mathur as the new CEO today. Mathur served as an Amazon VP in the early days, after the ""The Everything Store"" purchased his ...",2014/11/20,Series C,$12 M,Flywheel,12.0,https://www.linkedin.com/company/flywheel-sports
Ad Tech Company eXelate Raises $12M C Round Led By NewSpring Capital,https://techcrunch.com/2012/09/24/jargon-laden-company-exelate-raises-12m-c-round/,"Ad tech company eXelate, a provider of data and analytics to help advertisers know more about who to target and how, has announced that it's raised a $12 million C round, led by NewSpring Capital with...",2012/09/24,,$12 M,eXelate,12.0,https://www.linkedin.com/company/exelate
"Confirmed: Truecaller Scores $60 Million In Series C From KPCB, Atomico, And Sequoia",https://techcrunch.com/2014/10/08/confirmed-truecaller-scores-60-million-in-series-c-from-kpcb-atomico-and-sequoia/,"Truecaller has just announced the raise of a $60 million in Series C led by Atomico, Kleiner Perkins Caufield & Byers, and Sequoia Capital. As you might have noticed, TechCrunch's Ingrid Lunden tracke...",2014/10/08,Series C,$60 M,Truecaller,60.0,https://www.linkedin.com/company/true-software-scandinavia-ab
GitHub Raises $250M Series B Round To Take Risks,https://techcrunch.com/2015/07/29/github-raises-250m-series-b-round-to-take-risks/,"GitHub, the software development collaboration and version control service based on the popular open source Git tool, today announced that it has raised a $250 million funding round led by Sequoia Cap...",2015/07/29,Series B,$250 M,GitHub,250.0,https://www.linkedin.com/company/github
Micro-investing app Stash raises $25 million Series B,https://techcrunch.com/2016/12/14/micro-investing-app-stash-raises-25-million-series-b/,"Stash, a mobile application that aims to make investing easier for those who aren't as financially experienced, has raised $25 million in Series B funding, the company announced today. The round, whic...",2016/12/14,Series B,$25 M,app Stash,25.0,https://www.linkedin.com/company/stashinvest
Work Management Platform Wrike Raises $15M Series B Round,https://techcrunch.com/2015/05/06/work-management-platform-wrike-raises-15m-series-b-round/,Work management and collaboration platform Wrike today announced that it has raised a $15 million Series B round led by Scale Venture Partners with participation from DCM Ventures and previous investo...,2015/05/06,Series B,$15 M,Wrike,15.0,https://www.linkedin.com/company/wrike
Mobile Media Company Affle Raises $10M+ From D2C (A NTT DoCoMo Subsidiary),https://techcrunch.com/2011/10/04/mobile-media-company-affle-raises-10m-from-d2c-a-ntt-docomo-subsidiary/,"Singapore-headquartered mobile media and advertising startup Affle has raised over $10 million from D2 COMMUNICATIONS (D2C), Japan's largest mobile advertising company and a subsidiary of the country'...",2011/10/04,,$10 M,Affle,10.0,https://www.linkedin.com/company/affle
Orbital Systems raises £15M Series B for ?NASA-inspired? tech to save water when showering,https://techcrunch.com/2017/04/12/orbital-systems/,"Orbital Systems, a 'clean-tech' startup out of Sweden, has raised £15 million in Series B funding. The company's founder and CEO Mehrdad Mahdjoubi has developed new re-purification technology, in coll...",2017/04/12,Series B,$19.4 M,Orbital Systems,19.4,https://www.linkedin.com/company/orbital-systems
"Index Ventures Leads ?10M Series C In Online Plus-Size Fashion Retailer, Navabi",https://techcrunch.com/2013/12/02/index-ventures-leads-e10m-series-c-in-online-plus-size-fashion-retailer-navabi/,"Index Ventures has led a ?10 million Series C round in navabi, an online retailer for plus-size fashion. Existing investors, which include Seventure Partners and Dumont Venture, also participated in t...",2013/12/02,Series C,$12 M,Navabi,12.0,https://www.linkedin.com/company/navabi-gmbh
App Annie Scores $15 Million Series C From Sequoia & Others For Further Global Expansion,https://techcrunch.com/2013/09/18/app-annie-series-c/,"Mobile app analytics and market intelligence service App Annie has long since established itself as a major player among app developers, publishers, enterprise customers, and even VCs digging in for d...",2013/09/18,Series C,$15 M,App Annie,15.0,https://www.linkedin.com/company/app-annie
CRM Service Base Raises $15M Series B To Take On Salesforce,https://techcrunch.com/2014/03/19/crm-tool-base-raises-15m-series-b-let-by-rre-index-and-oca-to-grow-sales-team-move-hq-to-bay-area/,"Base, a cross-platform CRM tool for sales teams, today announced that it has raised a $15 million Series B funding round led by RRE Ventures, Index Ventures and OCA Ventures. Other investors include S...",2014/03/19,Series B,$15 M,Base,15.0,https://www.linkedin.com/company/base-crm
Motif Gets $25M Series C Led By Goldman Sachs For Its Theme-Based Stock Investment Platform,https://techcrunch.com/2013/04/12/motif-investing-gets-25m-series-c-goldman-sachs/,"Bitcoins may be getting a lot of buzz, but the market for products that deal with old fashioned dollars and cents is apparently still strong. To wit: Motif Investing, the Silicon Valley startup headed...",2013/04/12,Series C,$25 M,Motif,25.0,https://www.linkedin.com/company/motif-investing
"Game-Streaming Platform Twitch Lands $20M Series C Ahead Of Its Xbox One, PS4 Integration",https://techcrunch.com/2013/09/30/game-streaming-platform-twitch-lands-20m-series-c-ahead-of-its-xbox-one-ps4-integration/,"Twitch, a popular video game streaming service, announced today that it has raised a $20 million Series C round led by Thrive Capital. WestSummit Capital participated in the funding, as did, notably, ...",2013/09/30,Series C,$20 M,Twitch,20.0,https://www.linkedin.com/company/twitch-tv
"ShareThis Aims For Mobile, With $23M Series C Led By T-Venture, Acquisition Of Social App Platform, Socialize",https://techcrunch.com/2013/03/20/sharethis-aims-for-mobile-with-23m-series-c-led-by-t-venture-acquisition-of-social-app-platform-socialize/,"Palo Alto-based publisher platform ShareThis, the maker of those ""social sharing"" buttons scattered across the web, is today announcing having closed on $23 million in Series C financing, in a round l...",2013/03/20,Series C,$23 M,ShareThis,23.0,https://www.linkedin.com/company/sharethis
Personal Capital Closes $25 Million In Series C Funding For Online Wealth Management Platform,https://techcrunch.com/2013/06/05/personal-capital-closes-25-million-in-series-c-funding-for-online-wealth-management-platform/,"When many people hear ""wealth management,"" they think of elite advisors meeting old money clients at the country club, or decades-old firms with big names such as Fidelity or Schwab. But in the years ...",2013/06/05,Series C,$25 M,Personal Capital,25.0,https://www.linkedin.com/company/personal-capital
Open Source Business Intelligence Company Pentaho Lands $23 Million Series C,https://techcrunch.com/2012/10/30/open-source-business-intelligence-company-pentaho-lands-23-million-series-c/,"Open source business intelligence vendor Pentaho today announced that it has received a $23 million round led by New Enterprise Associates with participation from previous investors Benchmark Capital,...",2012/10/30,Series C,$23 M,Pentaho,23.0,https://www.linkedin.com/company/pentaho
WhoSay Gets $12 Million Series C Led By Comcast Ventures For Its Celebrity-Centric Social Platform,https://techcrunch.com/2012/07/24/whosay-raises-12-million-for-its-celebrity-centric-social-network/,"WhoSay, an online media management platform for celebrities and other ""influencers,"" has raised $12 million in a new funding round led by Comcast Ventures. The raise, which counts as WhoSay's Series C...",2012/07/24,Series C,$12 M,WhoSay,12.0,https://www.linkedin.com/company/whosay
Xeneta raises $12M Series B to crack open ocean freight pricing,https://techcrunch.com/2017/02/08/xeneta-series-b/,"Xeneta, the Oslo, Norway-based startup that offers a crowdsourced price comparison service for ocean freight, has raised $12 million in Series B funding. Leading the round is London-based Smedvig Capi...",2017/02/08,Series B,$12 M,Xeneta,12.0,https://www.linkedin.com/company/xeneta-as
"Ticketfly Gets Ready To Rock Sporting Events, International, IPO With New $22M Series C",https://techcrunch.com/2012/07/25/ticketfly-sports-international-ipo/,"Ticketfly is not content playing second fiddle to Ticketmaster, so it just raised a $22 million Series C with each investor chosen for a strength they bring to the stage: Northgate - sports, SAP Ventu...",2012/07/25,Series C,$22 M,Ticketfly,22.0,https://www.linkedin.com/company/ticketfly
